Model,TDP,TDP (Base),Cores (P),Cores (E),Cores (LP-E),Cores,Codename,Released,Clock rate
AMD A4-5150M APU,35.0,,,,,,,2013-07-01,
AMD A4-5300 APU,65.0,,,,,,,2012-10-01,
AMD A4-5300B APU,65.0,,,,,,,2012-12-01,
AMD A4-6210 APU,15.0,,,,,,,2014-07-01,
AMD A4-6250J APU,25.0,,,,,,,2014-12-01,
AMD A4-6300 APU,65.0,,,,,,,2013-11-01,
AMD A4-6300B APU,65.0,,,,,,,2013-12-01,
AMD A4-6320 APU,65.0,,,,,,,2014-04-01,
AMD A4-7210 APU,25.0,,,,,,,2015-07-01,
AMD A4-7300 APU,65.0,,,,,,,2014-09-01,
AMD A4-9120,15.0,,,,,,,2017-09-01,
AMD A4-9120C,6.0,,,,,,,2019-08-01,
AMD A4-9125,15.0,,,,,,,2018-11-01,
AMD A6 PRO-7050B APU,17.0,,,,,,,2014-09-01,
AMD A6 PRO-7400B,65.0,,,,,,,2014-12-01,
AMD A6-1450 APU,8.0,,,,,,,2013-05-01,
AMD A6-3400M APU,35.0,,,,,,,2011-06-01,
AMD A6-3410MX APU,45.0,,,,,,,2011-07-01,
AMD A6-3420M APU,35.0,,,,,,,2012-01-01,
AMD A6-3430MX APU,45.0,,,,,,,2012-02-01,
AMD A6-3500 APU,65.0,,,,,,,2011-09-01,
AMD A6-3600 APU,65.0,,,,,,,2011-11-01,
AMD A6-3620 APU,65.0,,,,,,,2012-02-01,
AMD A6-3650 APU,100.0,,,,,,,2011-07-01,
AMD A6-3670 APU,100.0,,,,,,,2012-01-01,
AMD A6-4400M APU,35.0,,,,,,,2012-04-01,
AMD A6-4455M APU,17.0,,,,,,,2012-07-01,
AMD A6-5200 APU,25.0,,,,,,,2013-07-01,
AMD A6-5345M APU,17.0,,,,,,,2014-04-01,
AMD A6-5350M APU,35.0,,,,,,,2013-07-01,
AMD A6-5357M APU,35.0,,,,,,,2013-10-01,
AMD A6-5400B APU,65.0,,,,,,,2013-11-01,
AMD A6-5400K APU,65.0,,,,,,,2012-10-01,
AMD A6-6310 APU,15.0,,,,,,,2014-07-01,
AMD A6-6400B APU,65.0,,,,,,,2014-02-01,
AMD A6-6400K APU,65.0,,,,,,,2013-07-01,
AMD A6-6420B APU,65.0,,,,,,,2014-11-01,
AMD A6-6420K APU,65.0,,,,,,,2014-10-01,
AMD A6-7000 ,17.0,,,,,,,2015-02-01,
AMD A6-7310 APU,25.0,,,,,,,2015-06-01,
AMD A6-7400K APU,65.0,,,,,,,2014-10-01,
AMD A6-7470K,65.0,,,,,,,2016-05-01,
AMD A6-7480,65.0,,,,,,,2019-04-01,
AMD A6-8500P,15.0,,,,,,,2016-05-01,
AMD A6-8550,65.0,,,,,,,2015-11-01,
AMD A6-9200,10.0,,,,,,,2018-03-01,
AMD A6-9210,15.0,,,,,,,2016-07-01,
AMD A6-9220,15.0,,,,,,,2017-08-01,
AMD A6-9220C,6.0,,,,,,,2019-05-01,
AMD A6-9225,15.0,,,,,,,2018-08-01,
AMD A6-9230,15.0,,,,,,,2017-08-01,
AMD A6-9400,10.0,,,,,,,2019-11-01,
AMD A6-9500,65.0,,,,,,,2016-12-01,
AMD A6-9500E,35.0,,,,,,,2018-10-01,
AMD A8 PRO-7150B APU,19.0,,,,,,,2014-07-01,
