Model,TDP,TDP (Base),Cores (P),Cores (E),Cores (LP-E),Cores,Codename,Released,Clock rate
AMD Athlon Neo MV-40,15.0,,,,,,,2009-04-01,
AMD Athlon Neo X2 Dual Core 6850e,22.0,,,,,,,2009-11-01,
AMD Athlon Neo X2 Dual Core L325,18.0,,,,,,,2010-01-01,
AMD Athlon Neo X2 Dual Core L335,18.0,,,,,,,2009-08-01,
AMD Athlon PRO 200GE,35.0,,,,,,,2018-05-01,
AMD Athlon PRO 200U Mobile Processor with Radeon Vega 3 Graphics,15.0,,,,,,,,
AMD Athlon PRO 300GE,35.0,,,,,,,2019-10-01,
AMD Athlon PRO 300U Mobile Processor with Radeon Vega 3 Graphics,15.0,,,,,,,,
AMD Athlon PRO 3045B,15.0,,,,,,,,
AMD Athlon PRO 3145B,15.0,,,,,,,,
AMD Athlon Silver 3050C,15.0,,,,,,,,
AMD Athlon Silver 3050GE,35.0,,,,,,,2021-02-01,
AMD Athlon Silver 3050GE (OEM Only),35.0,,,,,,,,
AMD Athlon Silver 3050U,15.0,,,,,,,2020-05-01,
AMD Athlon Silver 3050e,6.0,,,,,,,2020-11-01,
AMD Athlon Silver PRO 3125GE,35.0,,,,,,,2020-07-01,
AMD Athlon TF-20,15.0,,,,,,,2009-06-01,
AMD Athlon TF-36,25.0,,,,,,,2010-05-01,
AMD Athlon X2 215,65.0,,,,,,,2010-11-01,
AMD Athlon X2 240,65.0,,,,,,,2009-08-01,
AMD Athlon X2 240e,45.0,,,,,,,2011-07-01,
AMD Athlon X2 250,65.0,,,,,,,2009-06-01,
AMD Athlon X2 255,65.0,,,,,,,2012-01-01,
AMD Athlon X2 280,65.0,,,,,,,2014-03-01,
AMD Athlon X2 340 Dual Core,65.0,,,,,,,2013-07-01,
AMD Athlon X2 370K Dual Core,65.0,,,,,,,2013-11-01,
AMD Athlon X2 450,65.0,,,,,,,2022-07-01,
AMD Athlon X2 Dual Core 3250e,22.0,,,,,,,2009-10-01,
AMD Athlon X2 Dual Core 6850e,22.0,,,,,,,2010-07-01,
AMD Athlon X2 Dual Core BE-2300,45.0,,,,,,,2009-02-01,
AMD Athlon X2 Dual Core BE-2350,45.0,,,,,,,2009-03-01,
AMD Athlon X2 Dual Core BE-2400,18.0,,,,,,,2009-03-01,
AMD Athlon X2 Dual Core L310,13.0,,,,,,,2009-10-01,
AMD Athlon X3 425,95.0,,,,,,,2010-02-01,
AMD Athlon X3 435,95.0,,,,,,,2009-12-01,
AMD Athlon X3 440,95.0,,,,,,,2010-03-01,
AMD Athlon X3 445,95.0,,,,,,,2011-10-01,
AMD Athlon X3 455,95.0,,,,,,,2012-10-01,
AMD Athlon X4 530,25.0,,,,,,,2021-03-01,
AMD Athlon X4 620,95.0,,,,,,,2009-10-01,
AMD Athlon X4 640,95.0,,,,,,,2010-09-01,
AMD Athlon X4 730,65.0,,,,,,,2022-02-01,
AMD Athlon X4 740 Quad Core,65.0,,,,,,,2012-11-01,
AMD Athlon X4 750 Quad Core,65.0,,,,,,,2015-03-01,
AMD Athlon X4 750K Quad Core,100.0,,,,,,,2012-11-01,
AMD Athlon X4 760K Quad Core,100.0,,,,,,,2013-08-01,
AMD Athlon X4 830,65.0,,,,,,,2018-02-01,
AMD Athlon X4 840,65.0,,,,,,,2015-01-01,
AMD Athlon X4 845,65.0,,,,,,,2016-03-01,
AMD Athlon X4 860K,95.0,,,,,,,2014-09-01,
AMD Athlon X4 870K,95.0,,,,,,,2016-03-01,
AMD Athlon X4 880K,95.0,,,,,,,2016-04-01,
AMD Athlon X4 950,65.0,,,,,,,2017-09-01,
AMD Athlon XP 1700+,64.0,,,,,,,2009-02-01,
AMD Athlon XP 1800+,66.0,,,,,,,2009-03-01,
AMD Athlon XP 2000+,70.0,,,,,,,2009-02-01,
AMD Athlon XP 2800+,89.0,,,,,,,2009-01-01,
AMD Athlon XP 3000+,62.0,,,,,,,2009-03-01,
AMD Athlon XP 3200+,62.0,,,,,,,2008-12-01,
AMD Athlon64 X2 Dual Core 4600+,110.0,,,,,,,2009-05-01,
AMD C-30,9.0,,,,,,,2011-05-01,
AMD C-50,9.0,,,,,,,2011-01-01,
AMD C-60,9.0,,,,,,,2011-10-01,
AMD C-60 APU,9.0,,,,,,,2011-08-01,
AMD C-70 APU,9.0,,,,,,,2012-12-01,
AMD E-240,18.0,,,,,,,2011-02-01,
AMD E-300 APU,18.0,,,,,,,2011-10-01,
AMD E-350,18.0,,,,,,,2011-01-01,
AMD E-350 APU,18.0,,,,,,,2012-10-01,
AMD E-350D APU,18.0,,,,,,,2013-03-01,
AMD E-450 APU,18.0,,,,,,,2011-08-01,
AMD E1 Micro-6200T APU,3.95,,,,,,,2014-10-01,
AMD E1-1200 APU,18.0,,,,,,,2012-08-01,
AMD E1-1500 APU,18.0,,,,,,,2013-03-01,
AMD E1-2100 APU,9.0,,,,,,,2013-07-01,
AMD E1-2200 APU,9.0,,,,,,,2014-10-01,
AMD E1-2500 APU,15.0,,,,,,,2013-09-01,
AMD E1-6010 APU,10.0,,,,,,,2014-07-01,
AMD E1-6050J APU ,10.0,,,,,,,2016-03-01,
AMD E1-7010 APU,10.0,,,,,,,2016-06-01,
AMD E2-1800 APU,18.0,,,,,,,2012-06-01,
AMD E2-2000 APU,18.0,,,,,,,2013-03-01,
AMD E2-3000 APU,15.0,,,,,,,2014-02-01,
AMD E2-3000M APU,35.0,,,,,,,2011-09-01,
AMD E2-3200 APU,65.0,,,,,,,2011-12-01,
AMD E2-3800 APU,15.0,,,,,,,2014-02-01,
AMD E2-6110 APU,15.0,,,,,,,2014-10-01,
AMD E2-7110 APU,15.0,,,,,,,2015-10-01,
AMD E2-9000,10.0,,,,,,,2017-05-01,
AMD E2-9000e,6.0,,,,,,,2017-07-01,
AMD E2-9010,15.0,,,,,,,2017-01-01,
AMD EPYC 3201,30.0,,,,,,,2019-06-01,
AMD EPYC 3251,50.0,,,,,,,2019-10-01,
AMD EPYC 7232P,120.0,,,,,,,2020-05-01,
AMD EPYC 7251,120.0,,,,,,,2018-02-01,
AMD EPYC 7252,120.0,,,,,,,2021-05-01,
AMD EPYC 7261,170.0,,,,,,,,
AMD EPYC 7262,155.0,,,,,,,2019-12-01,
AMD EPYC 7272,120.0,,,,,,,2020-05-01,
AMD EPYC 7281,170.0,,,,,,,,
AMD EPYC 7282,120.0,,,,,,,2019-12-01,
AMD EPYC 72F3,180.0,,,,,,,2021-12-01,
AMD EPYC 7301,170.0,,,,,,,,
AMD EPYC 7302,155.0,,,,,,,2020-01-01,
AMD EPYC 7302P,155.0,,,,,,,2019-11-01,
AMD EPYC 7313,155.0,,,,,,,2021-07-01,
AMD EPYC 7313P,155.0,,,,,,,2021-06-01,
AMD EPYC 7343,190.0,,,,,,,2021-06-01,
AMD EPYC 7351,170.0,,,,,,,,
AMD EPYC 7351P,170.0,,,,,,,,
AMD EPYC 7352,155.0,,,,,,,2021-08-01,
AMD EPYC 7371,200.0,,,,,,,,
AMD EPYC 73F3,240.0,,,,,,,2021-06-01,
AMD EPYC 7401,170.0,,,,,,,,
AMD EPYC 7401P,170.0,,,,,,,,
AMD EPYC 7402,180.0,,,,,,,2020-05-01,
AMD EPYC 7402P,180.0,,,,,,,2019-10-01,
AMD EPYC 7413,180.0,,,,,,,2021-05-01,
AMD EPYC 7443,200.0,,,,,,,2022-01-01,
AMD EPYC 7443P,200.0,,,,,,,2021-06-01,
AMD EPYC 7451,180.0,,,,,,,2018-01-01,
AMD EPYC 7452,155.0,,,,,,,2019-11-01,
AMD EPYC 7453,225.0,,,,,,,2021-12-01,
AMD EPYC 7473X,240.0,,,,,,,2022-09-01,
AMD EPYC 74F3,240.0,,,,,,,2021-10-01,
AMD EPYC 7501,170.0,,,,,,,,
AMD EPYC 7502,180.0,,,,,,,2020-11-01,
AMD EPYC 7502P,180.0,,,,,,,2019-09-01,
AMD EPYC 7513,200.0,,,,,,,2021-06-01,
AMD EPYC 7532,200.0,,,,,,,2021-08-01,
AMD EPYC 7542,225.0,,,,,,,2019-11-01,
AMD EPYC 7543,240.0,,,,,,,2021-06-01,
AMD EPYC 7543P,225.0,,,,,,,2021-09-01,
AMD EPYC 7551,180.0,,,,,,,2017-09-01,
AMD EPYC 7551P,180.0,,,,,,,2018-03-01,
AMD EPYC 7552,200.0,,,,,,,2020-08-01,
AMD EPYC 7571,120.0,,,,,,,2019-09-01,
AMD EPYC 7573X,280.0,,,,,,,2022-08-01,
AMD EPYC 75F3,280.0,,,,,,,2021-06-01,
AMD EPYC 7601,180.0,,,,,,,2017-12-01,
AMD EPYC 7642,225.0,,,,,,,2021-05-01,
AMD EPYC 7643,225.0,,,,,,,2021-03-01,
AMD EPYC 7662,225.0,,,,,,,2021-04-01,
AMD EPYC 7663,240.0,,,,,,,,
AMD EPYC 7702,200.0,,,,,,,2020-05-01,
AMD EPYC 7702P,200.0,,,,,,,2019-09-01,
AMD EPYC 7713,225.0,,,,,,,2021-03-01,
AMD EPYC 7713P,225.0,,,,,,,2022-01-01,
AMD EPYC 7742,225.0,,,,,,,2019-09-01,
AMD EPYC 7763,280.0,,,,,,,2021-03-01,
AMD EPYC 7773X,280.0,,,,,,,2022-06-01,
AMD EPYC 7B12,240.0,,,,,,,2021-06-01,
AMD EPYC 7D12,85.0,,,,,,,2022-10-01,
AMD EPYC 7F32,180.0,,,,,,,2020-10-01,
AMD EPYC 7F52,240.0,,,,,,,2020-06-01,
AMD EPYC 7F72,240.0,,,,,,,,
AMD EPYC 7H12,280.0,,,,,,,2019-12-01,
AMD EPYC 7T83,280.0,,,,,,,2022-04-01,
AMD EPYC 7V13,240.0,,,,,,,2021-05-01,
AMD Embedded G-Series GX-215JJ Radeon R2E,10.0,,,,,,,2017-09-01,
AMD Embedded G-Series GX-224IJ Radeon R4E,15.0,,,,,,,2017-11-01,
AMD Embedded G-Series GX-420GI Radeon R7E,16.1,,,,,,,2017-09-01,
AMD Embedded R-Series RX-216GD,15.0,,,,,,,2017-05-01,
AMD Embedded R-Series RX-418GD Radeon R6,35.0,,,,,,,2018-03-01,
AMD Embedded R-Series RX-421BD,35.0,,,,,,,2015-11-01,
AMD Embedded R-Series RX-421ND,35.0,,,,,,,2022-06-01,
AMD FX-4100 Quad-Core,95.0,,,,,,,2011-10-01,
AMD FX-4130 Quad-Core,125.0,,,,,,,2012-12-01,
AMD FX-4150 Quad-Core,125.0,,,,,,,2013-12-01,
AMD FX-4170 Quad-Core,125.0,,,,,,,2012-03-01,
AMD FX-4200 Quad-Core,125.0,,,,,,,2013-12-01,
AMD FX-4300 Quad-Core,95.0,,,,,,,2012-12-01,
AMD FX-4320,95.0,,,,,,,2016-01-01,
AMD FX-4330,95.0,,,,,,,2015-12-01,
AMD FX-4350 Quad-Core,125.0,,,,,,,2013-06-01,
AMD FX-6100 Six-Core,95.0,,,,,,,2011-10-01,
AMD FX-6120 Six-Core,95.0,,,,,,,2012-06-01,
AMD FX-6130 Six-Core,125.0,,,,,,,2013-03-01,
AMD FX-6200 Six-Core,125.0,,,,,,,2012-03-01,
AMD FX-6300 Six-Core,95.0,,,,,,,2012-10-01,
AMD FX-6330 Six-Core,95.0,,,,,,,2016-11-01,
AMD FX-6350 Six-Core,125.0,,,,,,,2013-05-01,
AMD FX-670K Quad-Core,65.0,,,,,,,2014-04-01,
AMD FX-7500 APU,19.0,,,,,,,2014-10-01,
AMD FX-7600P,35.0,,,,,,,2015-01-01,
AMD FX-7600P APU,35.0,,,,,,,2014-10-01,
AMD FX-770K Quad-Core,65.0,,,,,,,2014-12-01,
AMD FX-8100 Eight-Core,95.0,,,,,,,2012-01-01,
AMD FX-8120 Eight-Core,125.0,,,,,,,2011-10-01,
AMD FX-8140 Eight-Core,95.0,,,,,,,2012-03-01,
AMD FX-8150 Eight-Core,125.0,,,,,,,2011-09-01,
AMD FX-8300 Eight-Core,95.0,,,,,,,2013-01-01,
AMD FX-8310 Eight-Core,95.0,,,,,,,2014-10-01,
AMD FX-8320 Eight-Core,125.0,,,,,,,2012-10-01,
AMD FX-8320E Eight-Core,95.0,,,,,,,2014-10-01,
AMD FX-8350 Eight-Core,125.0,,,,,,,2012-10-01,
AMD FX-8370 Eight-Core,125.0,,,,,,,2014-09-01,
AMD FX-8370E Eight-Core,95.0,,,,,,,2014-09-01,
AMD FX-8800P,35.0,,,,,,,2015-08-01,
AMD FX-9370 Eight-Core,220.0,,,,,,,2013-07-01,
AMD FX-9590 Eight-Core,220.0,,,,,,,2013-08-01,
AMD FX-9800P,15.0,,,,,,,2016-06-01,
AMD FX-9830P,35.0,,,,,,,2016-12-01,
AMD FX-B4150 Quad-Core,95.0,,,,,,,2013-02-01,
AMD FirePro A320 APU,100.0,,,,,,,2016-08-01,
AMD G-T40E,6.4,,,,,,,2011-10-01,
AMD G-T40N,9.0,,,,,,,2011-08-01,
AMD G-T40R,5.5,,,,,,,2018-10-01,
AMD G-T44R,9.0,,,,,,,2011-08-01,
AMD G-T48E,18.0,,,,,,,2013-08-01,
AMD G-T52R,18.0,,,,,,,2011-11-01,
AMD G-T56E,18.0,,,,,,,2013-07-01,
AMD G-T56N,18.0,,,,,,,2011-03-01,
AMD GX-210JA SOC,6.0,,,,,,,2015-06-01,
AMD GX-212JC SOC ,6.0,,,,,,,2014-07-01,
AMD GX-217GA SOC,15.0,,,,,,,2014-01-01,
AMD GX-218GL SOC,15.0,,,,,,,2017-03-01,
AMD GX-222GC SOC,15.0,,,,,,,2016-07-01,
AMD GX-412HC,7.0,,,,,,,2015-01-01,
AMD GX-412TC SOC,6.0,,,,,,,2022-10-01,
AMD GX-415GA SOC,15.0,,,,,,,2013-11-01,
AMD GX-420CA SOC,25.0,,,,,,,2013-12-01,
AMD GX-420MC SOC,17.5,,,,,,,2014-06-01,
AMD GX-424CC SOC,25.0,,,,,,,2014-07-01,
AMD Opteron 1212,103.0,,,,,,,2009-03-01,
AMD Opteron 1212 HE,65.0,,,,,,,2012-03-01,
AMD Opteron 1214,103.0,,,,,,,2009-11-01,
AMD Opteron 1214 HE,65.0,,,,,,,2015-11-01,
AMD Opteron 1216,103.0,,,,,,,2009-02-01,
AMD Opteron 1216 HE,65.0,,,,,,,2012-07-01,
AMD Opteron 1218,103.0,,,,,,,2010-05-01,
AMD Opteron 1218 HE,65.0,,,,,,,2010-08-01,
AMD Opteron 1220,103.0,,,,,,,2009-09-01,
AMD Opteron 1222,103.0,,,,,,,2010-07-01,
AMD Opteron 1352,75.0,,,,,,,2009-03-01,
AMD Opteron 1354,75.0,,,,,,,2009-03-01,
AMD Opteron 1356,75.0,,,,,,,2009-05-01,
AMD Opteron 1381,75.0,,,,,,,2012-04-01,
AMD Opteron 1385,115.0,,,,,,,2014-08-01,
AMD Opteron 1389,75.0,,,,,,,2014-02-01,
AMD Opteron 144,67.0,,,,,,,2008-11-01,
AMD Opteron 146,67.0,,,,,,,2009-03-01,
AMD Opteron 148,85.3,,,,,,,2009-05-01,
AMD Opteron 150,85.3,,,,,,,2009-03-01,
AMD Opteron 152,104.0,,,,,,,2009-07-01,
AMD Opteron 154,104.0,,,,,,,2011-12-01,
AMD Opteron 165,110.0,,,,,,,2009-01-01,
AMD Opteron 170,110.0,,,,,,,2009-02-01,
AMD Opteron 175,110.0,,,,,,,2008-11-01,
AMD Opteron 180,110.0,,,,,,,2009-02-01,
AMD Opteron 185,110.0,,,,,,,2009-01-01,
AMD Opteron 2218,95.0,,,,,,,2009-03-01,
AMD Opteron 2220,95.0,,,,,,,2009-04-01,
AMD Opteron 2220 SE,119.0,,,,,,,2009-09-01,
AMD Opteron 2222,95.0,,,,,,,2013-05-01,
AMD Opteron 2354,115.0,,,,,,,2013-09-01,
AMD Opteron 2356,75.0,,,,,,,2009-08-01,
AMD Opteron 2373 EE,60.0,,,,,,,2018-02-01,
AMD Opteron 2374 HE,55.0,,,,,,,2010-04-01,
AMD Opteron 2378,75.0,,,,,,,2009-03-01,
AMD Opteron 2382,115.0,,,,,,,2016-04-01,
AMD Opteron 2384,75.0,,,,,,,2009-07-01,
AMD Opteron 2387,75.0,,,,,,,2013-11-01,
AMD Opteron 2393 SE,105.0,,,,,,,2013-04-01,
AMD Opteron 2419 EE,60.0,,,,,,,2014-08-01,
AMD Opteron 2427,75.0,,,,,,,2011-07-01,
AMD Opteron 2431,75.0,,,,,,,2009-08-01,
AMD Opteron 2435,75.0,,,,,,,2013-03-01,
AMD Opteron 254,68.0,,,,,,,2012-12-01,
AMD Opteron 270,95.0,,,,,,,2012-08-01,
AMD Opteron 275,95.0,,,,,,,2008-12-01,
AMD Opteron 280,95.0,,,,,,,2009-03-01,
AMD Opteron 285,95.0,,,,,,,2009-04-01,
AMD Opteron 290,95.0,,,,,,,2009-06-01,
AMD Opteron 3250 HE,45.0,,,,,,,2019-05-01,
AMD Opteron 3260 HE,45.0,,,,,,,2012-11-01,
AMD Opteron 3280,65.0,,,,,,,2012-08-01,
AMD Opteron 3320 EE,25.0,,,,,,,2016-06-01,
AMD Opteron 3350 HE,45.0,,,,,,,2013-06-01,
AMD Opteron 3365,65.0,,,,,,,2014-11-01,
AMD Opteron 3380,65.0,,,,,,,2013-04-01,
AMD Opteron 4130,95.0,,,,,,,2016-05-01,
AMD Opteron 4162 EE,35.0,,,,,,,2015-01-01,
AMD Opteron 4170 HE,65.0,,,,,,,2010-12-01,
AMD Opteron 4184,95.0,,,,,,,2011-08-01,
AMD Opteron 4226,95.0,,,,,,,2013-03-01,
AMD Opteron 4274 HE,65.0,,,,,,,2012-06-01,
AMD Opteron 4280,95.0,,,,,,,2014-02-01,
AMD Opteron 4284,95.0,,,,,,,2013-02-01,
AMD Opteron 4332 HE,65.0,,,,,,,2015-09-01,
AMD Opteron 4334,95.0,,,,,,,2016-03-01,
AMD Opteron 4365 EE,40.0,,,,,,,2017-04-01,
AMD Opteron 4386,95.0,,,,,,,2014-06-01,
AMD Opteron 6128,115.0,,,,,,,2010-04-01,
AMD Opteron 6128 HE,85.0,,,,,,,2015-05-01,
AMD Opteron 6134,115.0,,,,,,,2010-12-01,
AMD Opteron 6136,115.0,,,,,,,2013-06-01,
AMD Opteron 6164 HE,85.0,,,,,,,2013-06-01,
AMD Opteron 6172,115.0,,,,,,,2010-08-01,
AMD Opteron 6174,115.0,,,,,,,2013-05-01,
AMD Opteron 6176 SE,140.0,,,,,,,2010-08-01,
AMD Opteron 6212,115.0,,,,,,,2013-05-01,
AMD Opteron 6220,115.0,,,,,,,2013-07-01,
AMD Opteron 6234,115.0,,,,,,,2012-01-01,
AMD Opteron 6238,115.0,,,,,,,2014-12-01,
AMD Opteron 6272,115.0,,,,,,,2011-12-01,
AMD Opteron 6274,115.0,,,,,,,2012-02-01,
AMD Opteron 6276,115.0,,,,,,,2013-03-01,
AMD Opteron 6278,115.0,,,,,,,2013-03-01,
AMD Opteron 6282 SE,140.0,,,,,,,2013-02-01,
AMD Opteron 6328,115.0,,,,,,,2013-07-01,
AMD Opteron 6344,115.0,,,,,,,2013-07-01,
AMD Opteron 6348,115.0,,,,,,,2013-05-01,
AMD Opteron 6366 HE,85.0,,,,,,,2014-04-01,
AMD Opteron 6376,115.0,,,,,,,2013-08-01,
AMD Opteron 6378,115.0,,,,,,,2015-02-01,
AMD Opteron 6380,115.0,,,,,,,2015-03-01,
AMD Opteron 6386 SE,140.0,,,,,,,2014-07-01,
AMD Opteron 8356,75.0,,,,,,,2014-05-01,
AMD Opteron 8378,115.0,,,,,,,2014-08-01,
AMD Opteron 8439 SE,105.0,,,,,,,2013-02-01,
AMD Opteron 885,95.0,,,,,,,2006-06-01,
AMD Opteron X2150 APU,22.0,,,,,,,,
AMD Opteron X2170,25.0,,,,,,,,
AMD Opteron X2170 APU,25.0,,,,,,,2018-09-01,
AMD Opteron X3216 APU,15.0,,,,,,,2017-08-01,
AMD Opteron X3418 APU,25.0,,,,,,,2019-03-01,
AMD Opteron X3421 APU,35.0,,,,,,,2017-06-01,
AMD PRO A10-8700B,15.0,,,,,,,2015-11-01,
AMD PRO A10-8730B,15.0,,,,,,,2016-12-01,
AMD PRO A10-8750B,65.0,,,,,,,2015-11-01,
AMD PRO A10-8770,65.0,,,,,,,2017-01-01,
AMD PRO A10-8770E,35.0,,,,,,,2017-01-01,
AMD PRO A10-8850B,95.0,,,,,,,2016-01-01,
AMD PRO A10-9700,65.0,,,,,,,2016-11-01,
AMD PRO A10-9700B,15.0,,,,,,,2018-01-01,
AMD PRO A10-9700E,35.0,,,,,,,2016-07-01,
AMD PRO A12-8800B,15.0,,,,,,,2015-09-01,
AMD PRO A12-8830B,15.0,,,,,,,2017-09-01,
AMD PRO A12-8870,65.0,,,,,,,2017-01-01,
AMD PRO A12-8870E,35.0,,,,,,,2016-11-01,
AMD PRO A12-9800,65.0,,,,,,,2017-01-01,
AMD PRO A12-9800B,15.0,,,,,,,2016-07-01,
AMD PRO A12-9800E,35.0,,,,,,,2017-01-01,
AMD PRO A4-3350B APU,15.0,,,,,,,2016-06-01,
AMD PRO A4-4350B,15.0,,,,,,,2019-11-01,
AMD PRO A4-8350B,65.0,,,,,,,2016-02-01,
AMD PRO A6-7350B,15.0,,,,,,,2018-03-01,
AMD PRO A6-8500B,15.0,,,,,,,2016-01-01,
AMD PRO A6-8530B,15.0,,,,,,,2017-01-01,
AMD PRO A6-8550B,65.0,,,,,,,2016-06-01,
AMD PRO A6-8570,65.0,,,,,,,2017-01-01,
AMD PRO A6-8570E,35.0,,,,,,,2017-01-01,
AMD PRO A6-9500,65.0,,,,,,,2017-01-01,
AMD PRO A6-9500B,15.0,,,,,,,2017-03-01,
AMD PRO A6-9500E,35.0,,,,,,,2017-01-01,
AMD PRO A8-8600B,15.0,,,,,,,2015-11-01,
AMD PRO A8-8650B,65.0,,,,,,,2015-11-01,
AMD PRO A8-8670E,35.0,,,,,,,2017-08-01,
AMD PRO A8-9600,65.0,,,,,,,2016-09-01,
AMD PRO A8-9600B,15.0,,,,,,,2017-01-01,
AMD Phenom 8250 Triple-Core,65.0,,,,,,,2009-09-01,
AMD Phenom 8250e Triple-Core,65.0,,,,,,,2009-08-01,
AMD Phenom 8400 Triple-Core,95.0,,,,,,,2009-03-01,
AMD Phenom 8450 Triple-Core,95.0,,,,,,,2008-12-01,
AMD Phenom 8450e Triple-Core,65.0,,,,,,,2009-10-01,
AMD Phenom 8600 Triple-Core,95.0,,,,,,,2009-02-01,
AMD Phenom 8600B Triple-Core,95.0,,,,,,,2009-04-01,
AMD Phenom 8650 Triple-Core,95.0,,,,,,,2008-12-01,
AMD Phenom 8750 Triple-Core,95.0,,,,,,,2009-02-01,
AMD Phenom 8750B Triple-Core,95.0,,,,,,,2009-05-01,
AMD Phenom 8850 Triple-Core,95.0,,,,,,,2010-08-01,
AMD Phenom 8850B Triple-Core,95.0,,,,,,,2010-09-01,
AMD Phenom 9100e Quad-Core,65.0,,,,,,,2009-02-01,
AMD Phenom 9150e Quad-Core,65.0,,,,,,,2009-02-01,
AMD Phenom 9350e Quad-Core,65.0,,,,,,,2009-02-01,
AMD Phenom 9450e Quad-Core,65.0,,,,,,,2010-03-01,
AMD Phenom 9500 Quad-Core,95.0,,,,,,,2008-11-01,
AMD Phenom 9550 Quad-Core,95.0,,,,,,,2008-12-01,
AMD Phenom 9600 Quad-Core,95.0,,,,,,,2008-12-01,
AMD Phenom 9600B Quad-Core,95.0,,,,,,,2009-03-01,
AMD Phenom 9650 Quad-Core,95.0,,,,,,,2008-12-01,
AMD Phenom 9750 Quad-Core,125.0,,,,,,,2008-12-01,
AMD Phenom 9750B Quad-Core,95.0,,,,,,,2009-09-01,
AMD Phenom 9850 Quad-Core,125.0,,,,,,,2008-11-01,
AMD Phenom 9850B Quad-Core,95.0,,,,,,,2010-05-01,
AMD Phenom 9950 Quad-Core,125.0,,,,,,,2008-11-01,
AMD Phenom FX-5000 Quad-Core,65.0,,,,,,,2009-10-01,
AMD Phenom FX-5200 Quad-Core,65.0,,,,,,,2010-12-01,
AMD Phenom II N620 Dual-Core,35.0,,,,,,,2010-06-01,
AMD Phenom II N640 Dual-Core,35.0,,,,,,,2010-10-01,
AMD Phenom II N660 Dual-Core,35.0,,,,,,,2011-01-01,
AMD Phenom II N830 3+1,35.0,,,,,,,2014-08-01,
AMD Phenom II N830 Triple-Core,35.0,,,,,,,2010-05-01,
AMD Phenom II N850 Triple-Core,35.0,,,,,,,2010-09-01,
AMD Phenom II N870 Triple-Core,35.0,,,,,,,2011-03-01,
AMD Phenom II N930 Quad-Core,35.0,,,,,,,2010-04-01,
AMD Phenom II N950 Quad-Core,35.0,,,,,,,2010-10-01,
AMD Phenom II N970 Quad-Core,35.0,,,,,,,2011-03-01,
AMD Phenom II P650 Dual-Core,35.0,,,,,,,2011-02-01,
AMD Phenom II P820 Triple-Core,25.0,,,,,,,2010-07-01,
AMD Phenom II P840 Triple-Core,35.0,,,,,,,2010-10-01,
AMD Phenom II P860 Triple-Core,35.0,,,,,,,2011-01-01,
AMD Phenom II P920 Quad-Core,25.0,,,,,,,2010-07-01,
AMD Phenom II P940 Quad-Core,35.0,,,,,,,2010-10-01,
AMD Phenom II P960 Quad-Core,35.0,,,,,,,2011-02-01,
AMD Phenom II X2 511,65.0,,,,,,,2011-02-01,
AMD Phenom II X2 521,65.0,,,,,,,2011-06-01,
AMD Phenom II X2 545,80.0,,,,,,,2009-08-01,
AMD Phenom II X2 550,80.0,,,,,,,2009-06-01,
AMD Phenom II X2 555,80.0,,,,,,,2010-02-01,
AMD Phenom II X2 560,80.0,,,,,,,2010-10-01,
AMD Phenom II X2 565,80.0,,,,,,,2011-01-01,
AMD Phenom II X2 570,80.0,,,,,,,2015-12-01,
AMD Phenom II X2 B53,80.0,,,,,,,2009-11-01,
AMD Phenom II X2 B55,80.0,,,,,,,2009-12-01,
AMD Phenom II X2 B57,80.0,,,,,,,2010-05-01,
AMD Phenom II X2 B59,80.0,,,,,,,2012-01-01,
AMD Phenom II X3 700e,65.0,,,,,,,2010-11-01,
AMD Phenom II X3 705e,65.0,,,,,,,2009-07-01,
AMD Phenom II X3 710,95.0,,,,,,,2009-02-01,
AMD Phenom II X3 720,95.0,,,,,,,2009-02-01,
AMD Phenom II X3 740,95.0,,,,,,,2010-07-01,
AMD Phenom II X3 B73,95.0,,,,,,,2010-07-01,
AMD Phenom II X3 B75,95.0,,,,,,,2009-08-01,
AMD Phenom II X3 B77,95.0,,,,,,,2012-04-01,
AMD Phenom II X4 805,95.0,,,,,,,2009-04-01,
AMD Phenom II X4 810,95.0,,,,,,,2009-02-01,
AMD Phenom II X4 820,95.0,,,,,,,2009-11-01,
AMD Phenom II X4 830,95.0,,,,,,,2010-07-01,
AMD Phenom II X4 840,95.0,,,,,,,2011-02-01,
AMD Phenom II X4 840T,95.0,,,,,,,2010-11-01,
AMD Phenom II X4 850,95.0,,,,,,,2011-07-01,
AMD Phenom II X4 900e,65.0,,,,,,,2010-11-01,
AMD Phenom II X4 905e,65.0,,,,,,,2009-06-01,
AMD Phenom II X4 910,95.0,,,,,,,2009-03-01,
AMD Phenom II X4 910e,65.0,,,,,,,2010-05-01,
AMD Phenom II X4 920,125.0,,,,,,,2009-01-01,
AMD Phenom II X4 925,95.0,,,,,,,2009-03-01,
AMD Phenom II X4 940,125.0,,,,,,,2009-01-01,
AMD Phenom II X4 945,125.0,,,,,,,2009-04-01,
AMD Phenom II X4 955,125.0,,,,,,,2009-03-01,
AMD Phenom II X4 960T,95.0,,,,,,,2011-06-01,
AMD Phenom II X4 965,125.0,,,,,,,2009-08-01,
AMD Phenom II X4 970,125.0,,,,,,,2010-09-01,
AMD Phenom II X4 975,125.0,,,,,,,2011-01-01,
AMD Phenom II X4 977,95.0,,,,,,,2012-12-01,
